Radiated Heat Times Area (W),Thermal Conductivity of Area (W.mK),Thermal Diffusivity of Area (m2/s),Temperature of Area (K),Best Circle Radius (Pixels),Best Circle Accumulator Score,Best Circle X Position (Pixels),Best Circle Y Position (Pixels),Best Circle Distance from Centre (Pixels)
38.85053378560001,0.21291375591442355,5.473399702297185e-06,307.8775121631849,69.0,0.3175000000000002,64.0,62.0,2.0
37.223786086400004,0.21287646359180087,5.473378782870026e-06,307.41275855789854,69.0,0.3150000000000002,65.0,64.0,1.0
38.85433487360001,0.21291384265486185,5.473399756136995e-06,307.87859565265927,69.0,0.3025000000000002,72.0,64.0,8.0
39.024682598400005,0.21291772807906237,5.47340219315219e-06,307.9271410545988,69.0,0.3125000000000002,66.0,64.0,2.0
37.748722892800004,0.21288853468927932,5.473385075652112e-06,307.56296067332516,69.0,0.3175000000000002,68.0,62.0,4.47213595499958
36.92110151680001,0.21286948706317474,5.4733753487784655e-06,307.3260501249567,69.0,0.3075000000000002,64.0,62.0,2.0
37.844097433600005,0.21289072404326337,5.473386265320852e-06,307.5902269338767,69.0,0.3075000000000002,64.0,62.0,2.0
37.78347008000001,0.21288933245806016,5.473385507416647e-06,307.572895252698,69.0,0.3725000000000003,63.0,58.0,6.082762530298219
37.17066260480001,0.21287524001554212,5.473378169933879e-06,307.39754586584667,69.0,0.3175000000000002,66.0,62.0,2.8284271247461903
38.942336614400006,0.21291585032982252,5.4734010091946445e-06,307.9036771045858,69.0,0.32500000000000023,66.0,62.0,2.8284271247461903
36.694451814400004,0.21286425527183878,5.473372869419753e-06,307.26107490894873,69.0,0.32000000000000023,66.0,64.0,2.0
36.896086425600004,0.21286890996312377,5.473375071276232e-06,307.31888090120185,69.0,0.2950000000000002,72.0,64.0,8.0
37.668860723200005,0.212886700525398,5.473384090492601e-06,307.54012360520153,69.0,0.3100000000000002,69.0,63.0,5.0990195135927845
37.7624526848,0.21288884993336482,5.473385246029758e-06,307.5668862775761,69.0,0.2925000000000002,72.0,64.0,8.0
36.581893734400005,0.21286165459604234,5.473371667234694e-06,307.2287917922309,69.0,0.3075000000000002,66.0,62.0,2.8284271247461903
37.48479631360001,0.21288247005626915,5.473381858011575e-06,307.48746989564415,69.0,0.3075000000000002,64.0,62.0,2.0
38.032211968000006,0.21289503884246297,5.47338865391725e-06,307.6439850292138,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
36.848356556800006,0.21286780860621762,5.473374544450127e-06,307.3052003220936,69.0,0.3150000000000002,64.0,62.0,2.0
37.41966663680001,0.2128809720921932,5.473381080749696e-06,307.4688323332487,69.0,0.35750000000000026,64.0,69.0,5.0
36.51239936,0.21286004809277942,5.4733709345976095e-06,307.2088548222173,69.0,0.3075000000000002,68.0,63.0,4.123105625617661
38.796912230400004,0.21291253207939345,5.473398945286312e-06,307.86222627020805,69.0,0.32000000000000023,64.0,62.0,2.0
37.29182556160001,0.21287803019012608,5.473379574289881e-06,307.43223936651856,69.0,0.3100000000000002,64.0,64.0,0.0
38.62698393600001,0.21290865128252562,5.473396577093831e-06,307.8137697761927,69.0,0.3150000000000002,72.0,64.0,8.0
38.6298216448,0.21290871612001006,5.4733966162577474e-06,307.8145791608238,69.0,0.3025000000000002,72.0,64.0,8.0
36.35576176640001,0.21285642479245015,5.473369310049753e-06,307.16390343421966,69.0,0.3150000000000002,64.0,62.0,2.0
38.528581632000005,0.2129064022967601,5.473395227057901e-06,307.7856990586226,69.0,0.3175000000000002,64.0,62.0,2.0
38.80440299520001,0.21291270306741905,5.473399050757754e-06,307.8643617988277,69.0,0.35000000000000026,68.0,69.0,6.4031242374328485
38.90815303680001,0.2129150705818476,5.473400520956678e-06,307.8939351417355,69.0,0.32000000000000023,68.0,62.0,4.47213595499958
36.40454021120001,0.2128575534653616,5.473369811978249e-06,307.1779038422838,69.0,0.3150000000000002,64.0,62.0,2.0
37.03455744000001,0.2128721034814032,5.473376619449391e-06,307.3585598361524,69.0,0.2850000000000002,71.0,62.0,7.280109889280518
36.3466850304,0.21285621473379546,5.473369217046128e-06,307.1612980146764,69.0,0.2950000000000002,65.0,65.0,1.4142135623730951
36.5485293568,0.21286088338926062,5.4733713145807435e-06,307.21922050048556,69.0,0.2875000000000002,65.0,65.0,1.4142135623730951
38.5352859648,0.2129065555637077,5.473395318542769e-06,307.7876118128735,69.0,0.3125000000000002,64.0,62.0,2.0
37.890523136000006,0.21289178933673633,5.473386849611164e-06,307.6034967758909,69.0,0.3075000000000002,67.0,63.0,3.1622776601683795
36.39655792640001,0.2128573687863672,5.473369729595321e-06,307.1756128948167,69.0,0.3025000000000002,66.0,62.0,2.8284271247461903
36.939759616,0.21286991745409642,5.473375556384979e-06,307.33139713391296,69.0,0.2950000000000002,72.0,64.0,8.0
37.30883215360001,0.2128784216707344,5.473379773228323e-06,307.4371080520155,69.0,0.2975000000000002,64.0,64.0,0.0
37.035822284800005,0.2128721326407101,5.473376633726809e-06,307.3589222072108,69.0,0.3125000000000002,64.0,62.0,2.0
36.550239846400004,0.2128609229301949,5.473371332619183e-06,307.2197112130968,69.0,0.34750000000000025,68.0,58.0,7.211102550927978
38.56180183040001,0.21290716168334356,5.473395681078207e-06,307.7951764719723,69.0,0.3125000000000002,67.0,63.0,3.1622776601683795
